Matrice de parenté

;0000000175;0000000183;0000000250;0000000307;0000173578;0001380642;0048000618;0048002166;0048002217;0049000543;0049001837;0049031522;0049031673;0049031774
0000000175;0.500
0000000183;0.250;0.500
0000000250;0.000;0.000;0.500
0000000307;0.000;0.029;0.008;0.546
0000173578;0.000;0.021;0.000;0.062;0.542
0001380642;0.000;0.005;0.031;0.055;0.033;0.570
0048000618;0.000;0.016;0.000;0.011;0.014;0.000;0.500
0048002166;0.000;0.000;0.031;0.008;0.000;0.031;0.000;0.500
0048002217;0.000;0.010;0.000;0.009;0.008;0.000;0.000;0.000;0.500
0049000543;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.508
0049001837;0.000;0.000;0.000;0.000;0.000;0.031;0.000;0.000;0.000;0.000;0.500
0049031522;0.000;0.000;0.000;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500
0049031673;0.000;0.031;0.000;0.021;0.027;0.000;0.250;0.000;0.000;0.000;0.000;0.000;0.500
0049031774;0.000;0.008;0.000;0.020;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500

